Dataset,Module,Completeness,Uniqueness,Validity,Accuracy,Timeliness,Consistency,Status,Week_format,Record_ID,Data_Vendor,Date,Time_Period,Pipeline_Success_Rate_Pct,Mean_Time_to_Fix_Failure_Hours,Mean_Time_Between_Failures_Hours,Error_Rate_Pct,Record_Completeness_Score_Pct,On_Time_Data_Delivery_Rate_Pct,Validation_Failure_Rate_Pct,Null_Value_Rate_Pct,Duplication_Rate_Pct,User_Reported_Issues,Data_Freshness,Incident_Frequency
Prescriber,Field Report,0.44,0.17,0.147,0.245,0.244,0.308,Achieved,11/10,217,IQVIA,2025-11-10,YTD,0.0117,6.6,83.1,0.0019,0.0055,0.0115,0.0037,0.0041,0.0076,4,0.0059,1.09
Patients,Field Report,0.15,0.31,0.147,0.245,0.244,0.308,In Progress,03/23,218,IQVIA,2025-03-23,CM,0.0055,8.7,66.4,0.009,0.0132,0.0,0.0044,0.0059,0.0076,2,0.0062,1.28
Prescriber,Field Report,0.15,0.17,0.247,0.245,0.244,0.308,Achieved,07/29,219,IQVIA,2025-07-29,YTD,0.0052,9.0,95.4,0.0016,0.0163,0.0175,0.0037,0.0024,0.0038,4,0.0026,1.97
Email,Marketing Report,0.44,0.31,0.247,0.245,0.244,0.308,In Progress,02/03,221,SFMC,2025-02-03,QTD,0.0125,4.3,98.3,0.008,0.0157,0.0111,0.0055,0.0052,0.0032,5,0.0043,1.9
Subscriber,Marketing Report,0.44,0.31,0.247,0.245,0.144,0.308,In Progress,03/23,222,SFMC,2025-03-23,CM,0.0102,4.1,71.2,0.0052,0.0079,0.0,0.0037,0.0023,0.0052,1,0.0074,0.34
Rx Fact,Field Report,0.44,0.17,0.147,0.245,0.244,0.308,In Progress,03/23,224,IQVIA,2025-03-23,CM,0.0075,3.8,62.4,0.0033,0.0164,0.0195,0.0098,0.0062,0.0021,2,0.0042,1.67
Prescriber,Field Report,0.15,0.31,0.247,0.245,0.244,0.308,In Progress,08/24,225,IQVIA,2025-08-24,YTD,0.0189,3.5,52.5,0.0097,0.0197,0.0,0.0058,0.0056,0.0013,0,0.0063,0.37
Email,Field Report,0.15,0.31,0.147,0.445,0.144,0.308,Achieved,09/04,226,SFMC,2025-09-04,YTD,0.0134,5.5,60.2,0.0084,0.0171,0.0,0.0068,0.0091,0.0058,0,0.0038,1.03
Email,Field Report,0.15,0.17,0.147,0.445,0.244,0.308,Achieved,11/04,228,SFMC,2025-11-04,QTD,0.0133,7.1,66.4,0.003,0.019,0.0074,0.0072,0.0084,0.0022,2,0.0081,1.86
Prescriber,Field Report,0.44,0.31,0.247,0.245,0.144,0.308,Achieved,03/23,229,IQVIA,2025-03-23,CM,0.0114,2.4,70.4,0.0036,0.0124,0.0103,0.009,0.0031,0.005,3,0.0074,1.09
Subscriber,Marketing Report,0.15,0.31,0.147,0.245,0.144,0.308,Achieved,07/10,230,SFMC,2025-07-10,YTD,0.0188,8.4,77.3,0.002,0.0127,0.0,0.0025,0.0035,0.0026,0,0.0049,0.43
Patients,Field Report,0.15,0.31,0.147,0.245,0.244,0.308,In Progress,01/11,232,IQVIA,2025-01-11,QTD,0.0088,8.6,85.2,0.0021,0.0156,0.007,0.0062,0.0074,0.0022,4,0.0014,1.52
Prescriber,Marketing Report,0.44,0.31,0.247,0.245,0.244,0.308,Achieved,07/09,233,IQVIA,2025-07-09,YTD,0.0128,7.3,63.8,0.0063,0.0183,0.0,0.0078,0.0026,0.0096,2,0.0065,1.84
Email,Field Report,0.15,0.31,0.147,0.245,0.244,0.308,Achieved,03/23,234,SFMC,2025-03-23,CM,0.005,7.8,72.0,0.0038,0.0163,0.0064,0.008,0.0032,0.0065,2,0.007,1.35
Rx Fact,Field Report,0.44,0.31,0.247,0.445,0.144,0.308,Achieved,03/23,235,IQVIA,2025-03-23,CM,0.0087,3.2,95.1,0.0047,0.009,0.0104,0.0019,0.0056,0.0088,0,0.0059,0.45
Sent,Field Report,0.15,0.17,0.247,0.245,0.144,0.308,Achieved,08/26,236,SFMC,2025-08-26,QTD,0.0159,5.6,64.2,0.0057,0.0089,0.0075,0.0032,0.003,0.0022,2,0.0023,1.17
Email,Marketing Report,0.44,0.31,0.247,0.245,0.144,0.308,In Progress,09/19,237,SFMC,2025-09-19,YTD,0.0107,5.5,54.3,0.0044,0.0055,0.0,0.0053,0.0078,0.0064,0,0.0088,0.67
Patients,Marketing Report,0.44,0.17,0.247,0.245,0.244,0.308,In Progress,09/24,239,IQVIA,2025-09-24,YTD,0.0143,5.7,78.9,0.0081,0.0102,0.0,0.0079,0.0041,0.0035,4,0.0075,0.22
Subscriber,Marketing Report,0.44,0.31,0.147,0.445,0.144,0.308,In Progress,03/21,240,SFMC,2025-03-21,YTD,0.112,3.4,70.1,0.0095,0.0179,0.0142,0.007,0.0093,0.0083,1,0.0046,1.84
Subscriber,Field Report,0.44,0.31,0.247,0.445,0.144,0.308,Achieved,03/23,241,SFMC,2025-03-23,CM,0.0143,5.8,57.6,0.0021,0.0116,0.0166,0.0022,0.005,0.0029,0,0.0036,0.24
Email,Field Report,0.44,0.17,0.247,0.445,0.244,0.308,Achieved,06/25,243,SFMC,2025-06-25,QTD,0.0199,8.3,80.4,0.0045,0.0113,0.009,0.0051,0.0075,0.0089,2,0.007,1.66
Rx Fact,Marketing Report,0.44,0.31,0.247,0.445,0.144,0.308,Achieved,06/06,245,IQVIA,2025-06-06,QTD,0.157,2.5,94.3,0.0032,0.0146,0.0064,0.0042,0.0044,0.0046,2,0.0013,0.74
Subscriber,Field Report,0.15,0.31,0.247,0.445,0.144,0.308,Achieved,02/08,246,SFMC,2025-02-08,QTD,0.0162,9.4,56.0,0.0058,0.0122,0.0189,0.0031,0.0092,0.0043,1,0.0048,0.94
Sent,Marketing Report,0.15,0.31,0.247,0.245,0.244,0.308,Achieved,03/23,254,SFMC,2025-03-23,CM,0.0182,8.0,67.2,0.0062,0.0071,0.0162,0.0065,0.0044,0.0084,0,0.0071,1.19
Email,Marketing Report,0.44,0.31,0.147,0.245,0.244,0.308,In Progress,11/04,255,SFMC,2025-11-04,YTD,0.0134,6.9,98.0,0.0058,0.019,0.0076,0.0015,0.007,0.0039,2,0.0064,1.15
Rx Fact,Marketing Report,0.44,0.31,0.147,0.245,0.244,0.308,Achieved,06/25,256,IQVIA,2025-06-25,QTD,0.0069,3.8,82.6,0.0056,0.0072,0.013,0.0082,0.0057,0.002,3,0.0027,1.21
Patients,Marketing Report,0.44,0.17,0.247,0.445,0.244,0.308,Achieved,03/23,257,IQVIA,2025-03-23,CM,0.0097,3.5,88.6,0.0037,0.0181,0.0187,0.0018,0.0086,0.0045,5,0.0099,1.29
Rx Fact,Marketing Report,0.44,0.17,0.247,0.245,0.144,0.308,Achieved,01/20,258,IQVIA,2025-01-20,QTD,0.0173,7.7,58.5,0.0085,0.02,0.0192,0.004,0.0092,0.0047,0,0.0014,1.78
Patients,Field Report,0.44,0.17,0.247,0.445,0.144,0.308,In Progress,03/23,259,IQVIA,2025-03-23,CM,0.018,9.9,94.5,0.0029,0.008,0.0052,0.0067,0.006,0.0079,3,0.0097,1.35
Email,Field Report,0.44,0.31,0.147,0.445,0.244,0.308,In Progress,02/16,261,SFMC,2025-02-16,YTD,0.0112,3.4,87.8,0.0091,0.018,0.0053,0.0089,0.0034,0.0014,1,0.0087,1.32
Email,Field Report,0.15,0.31,0.147,0.445,0.244,0.308,In Progress,01/17,262,SFMC,2025-01-17,YTD,0.0156,2.6,53.8,0.0062,0.0098,0.0117,0.0076,0.005,0.0086,0,0.0081,1.44
Prescriber,Marketing Report,0.44,0.31,0.147,0.245,0.244,0.308,Achieved,09/04,263,IQVIA,2025-09-04,QTD,0.0102,4.8,71.3,0.0016,0.0148,0.0156,0.0053,0.0064,0.0027,5,0.0055,1.64
Rx Fact,Marketing Report,0.44,0.31,0.147,0.445,0.244,0.308,In Progress,01/13,264,IQVIA,2025-01-13,QTD,0.0121,3.1,52.1,0.0052,0.0066,0.0129,0.006,0.001,0.0065,1,0.0068,1.63
Email,Marketing Report,0.15,0.17,0.147,0.245,0.244,0.308,In Progress,02/02,266,SFMC,2025-02-02,QTD,0.0197,3.0,71.7,0.0026,0.0056,0.0132,0.0034,0.0056,0.0019,0,0.019,1.9
Prescriber,Marketing Report,0.15,0.17,0.247,0.445,0.244,0.308,Achieved,05/09,267,IQVIA,2025-05-09,YTD,0.2139,6.2,86.4,0.0035,0.0063,0.0098,0.0084,0.0055,0.01,0,0.015,1.02
Email,Marketing Report,0.15,0.31,0.247,0.445,0.244,0.308,Achieved,11/08,269,SFMC,2025-11-08,YTD,0.013,6.6,55.9,0.0037,0.0065,0.0,0.0031,0.0016,0.0039,2,0.013,1.43
Rx Fact,Marketing Report,0.44,0.31,0.247,0.445,0.144,0.308,In Progress,03/23,270,IQVIA,2025-03-23,CM,0.008,3.0,99.3,0.0068,0.0092,0.009,0.0083,0.009,0.0017,4,0.0092,0.35
Patients,Marketing Report,0.15,0.17,0.147,0.245,0.244,0.308,Achieved,10/19,271,IQVIA,2025-10-19,YTD,0.0113,5.4,90.4,0.0065,0.0088,0.0,0.0094,0.002,0.0061,1,0.0139,0.67
Subscriber,Field Report,0.15,0.17,0.147,0.445,0.144,0.308,Achieved,05/01,272,SFMC,2025-05-01,YTD,0.0145,6.8,87.5,0.0058,0.0091,0.0,0.0068,0.0018,0.0029,2,0.0114,1.52
Prescriber,Marketing Report,0.15,0.17,0.147,0.445,0.244,0.308,In Progress,03/23,273,IQVIA,2025-03-23,CM,0.0058,4.8,54.2,0.0054,0.0134,0.0,0.0014,0.0042,0.0013,4,0.0086,1.54
Prescriber,Marketing Report,0.15,0.17,0.247,0.245,0.244,0.308,Achieved,04/08,275,IQVIA,2025-04-08,YTD,0.0077,2.2,69.3,0.0036,0.0079,0.0,0.0028,0.0014,0.0051,0,0.0059,1.35
Patients,Marketing Report,0.15,0.31,0.247,0.445,0.144,0.308,Achieved,12/27,276,IQVIA,2025-12-27,QTD,0.0058,3.7,50.2,0.0016,0.0092,0.0087,0.0051,0.0077,0.0027,2,0.0062,1.12
Prescriber,Marketing Report,0.15,0.17,0.147,0.245,0.144,0.308,In Progress,03/23,277,IQVIA,2025-03-23,CM,0.0188,2.1,74.5,0.0016,0.0124,0.0,0.005,0.0051,0.0053,1,0.0026,0.73
Prescriber,Marketing Report,0.44,0.17,0.147,0.445,0.144,0.308,Achieved,09/01,279,IQVIA,2025-09-01,QTD,0.0156,8.0,85.4,0.0075,0.0069,0.0101,0.003,0.005,0.0025,4,0.0043,0.82
Rx Fact,Field Report,0.15,0.17,0.247,0.245,0.144,0.308,In Progress,06/19,280,IQVIA,2025-06-19,YTD,0.0095,9.3,98.7,0.0078,0.0084,0.0,0.008,0.0058,0.0026,1,0.0074,1.58
Patients,Marketing Report,0.44,0.17,0.147,0.445,0.144,0.308,Achieved,03/23,281,IQVIA,2025-03-23,CM,0.0169,8.9,70.6,0.0011,0.0164,0.0,0.0051,0.0069,0.0036,2,0.0087,0.73
Email,Field Report,0.44,0.31,0.247,0.245,0.244,0.308,In Progress,03/23,282,SFMC,2025-03-23,CM,0.0199,6.1,51.9,0.0091,0.0089,0.0,0.0067,0.0093,0.0015,3,0.0042,1.39
Email,Marketing Report,0.15,0.31,0.247,0.245,0.244,0.308,In Progress,03/23,284,SFMC,2025-03-23,CM,0.0172,3.1,60.5,0.0082,0.0177,0.0,0.0057,0.0072,0.0052,1,0.0038,0.39
Rx Fact,Field Report,0.15,0.31,0.247,0.245,0.244,0.308,Achieved,11/18,285,IQVIA,2025-11-18,QTD,0.0107,5.6,66.1,0.0066,0.0175,0.0057,0.0037,0.0049,0.0076,0,0.0073,0.64
Rx Fact,Marketing Report,0.15,0.17,0.147,0.445,0.144,0.308,In Progress,06/08,286,IQVIA,2025-06-08,QTD,0.0061,7.0,77.6,0.0027,0.0171,0.0141,0.0011,0.0056,0.002,3,0.0081,1.58
Sent,Marketing Report,0.44,0.31,0.247,0.245,0.144,0.308,Achieved,03/23,287,SFMC,2025-03-23,CM,0.0079,4.8,66.6,0.0055,0.0157,0.0,0.0039,0.0093,0.0055,1,0.0074,0.1
Sent,Field Report,0.15,0.31,0.247,0.245,0.244,0.308,In Progress,03/03,289,SFMC,2025-03-03,YTD,0.0129,4.9,76.6,0.0073,0.0096,0.0172,0.0063,0.0048,0.0061,3,0.0032,1.24
Prescriber,Marketing Report,0.15,0.17,0.147,0.445,0.144,0.308,Achieved,10/23,290,IQVIA,2025-10-23,YTD,0.112,4.8,58.0,0.0024,0.0068,0.0174,0.0096,0.0073,0.0024,4,0.0014,0.35
Subscriber,Field Report,0.44,0.17,0.147,0.245,0.144,0.308,Achieved,06/06,291,SFMC,2025-06-06,QTD,0.0143,7.3,69.1,0.0063,0.0128,0.0146,0.006,0.0096,0.0033,5,0.0065,0.42
Subscriber,Marketing Report,0.44,0.31,0.147,0.245,0.244,0.308,Achieved,03/23,292,SFMC,2025-03-23,CM,0.0169,4.3,84.0,0.0078,0.0178,0.0069,0.0055,0.0034,0.0019,1,0.007,0.83
Sent,Marketing Report,0.15,0.17,0.247,0.245,0.144,0.308,Achieved,01/05,293,SFMC,2025-01-05,YTD,0.2199,8.3,56.0,0.0087,0.0198,0.0101,0.0074,0.0092,0.0078,5,0.0059,1.04
Sent,Marketing Report,0.15,0.31,0.247,0.445,0.144,0.308,Achieved,09/27,294,SFMC,2025-09-27,QTD,0.0102,6.5,99.7,0.0092,0.0055,0.0089,0.0076,0.0065,0.0029,3,0.0023,0.44
Prescriber,Marketing Report,0.15,0.17,0.247,0.445,0.144,0.308,Achieved,03/26,295,IQVIA,2025-03-26,YTD,0.157,7.9,74.7,0.0033,0.0079,0.0185,0.0071,0.0081,0.0091,1,0.0088,1.9
Patients,Marketing Report,0.44,0.31,0.247,0.445,0.244,0.308,Achieved,08/08,296,IQVIA,2025-08-08,YTD,0.0162,5.5,70.4,0.0062,0.0151,0.0173,0.0037,0.0041,0.0036,3,0.0088,0.9
Sent,Marketing Report,0.15,0.31,0.247,0.245,0.144,0.308,Achieved,03/23,297,SFMC,2025-03-23,CM,0.2158,8.6,74.9,0.0059,0.0199,0.0094,0.0039,0.0019,0.0067,0,0.0075,1.29
Email,Field Report,0.44,0.17,0.147,0.245,0.244,0.308,In Progress,07/01,298,SFMC,2025-07-01,QTD,0.0124,5.7,86.1,0.002,0.0062,0.0061,0.0078,0.0061,0.0073,0,0.0046,0.58
Patients,Field Report,0.15,0.17,0.247,0.445,0.244,0.308,In Progress,03/23,299,IQVIA,2025-03-23,CM,0.0134,3.8,95.6,0.0096,0.011,0.0106,0.0014,0.0074,0.0051,0,0.0036,0.61
Prescriber,Marketing Report,0.44,0.31,0.247,0.245,0.244,0.308,Achieved,03/23,300,IQVIA,2025-03-23,CM,0.0071,7.1,78.8,0.0084,0.0095,0.0106,0.0054,0.0042,0.0075,5,0.0084,0.27
